0ElectionDate,1OfficeCode(Text),2DistrictCode(Text),3StatusCode,4CountyCode,5CountyName,6OfficeDescription,7PartyOrder,8PartyName,9PartyDescription,10CandidateID,11CandidateLastName,12CandidateFirstName,13CandidateMiddleName,14CandidateFormerName,15CandidateVotes,16WriteIn(W)/Uncommitted(Z),17Recount(*),18Nominated(N)/Elected(E)
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,5779,,,E
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,7920,,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,143,,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,73,,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,37,,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,28,,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,4,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,5937,,,E
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,7827,,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,133,,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,65,,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,31,,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,21,,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,5,ANTRIM,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,2709,,,E
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,4314,,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,52,,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,58,,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,21,,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,16,,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,6,ARENAC,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,1329,,,E
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,2056,,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,32,,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,16,,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,8,,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,3,,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,7,BARAGA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,11552,,,E
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,18547,,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,304,,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,153,,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,97,,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,44,,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,8,BARRY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,24783,,,E
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,23448,,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,466,,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,269,,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,160,,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,83,,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,9,BAY,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,5446,,,E
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,5064,,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,99,,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,36,,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,31,,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,12,,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,10,BENZIE,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,1,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,29803,,,E
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,33157,,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,607,,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,248,,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,147,,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,62,,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,11,BERRIEN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
11/8/22,2,0,0,12,BRANCH,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,5676,,,E
11/8/22,2,0,0,12,BRANCH,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,10132,,,
11/8/22,2,0,0,12,BRANCH,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,135,,,
